,CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,prediction
6252,596,1,32,3,96709.07,2,0,0,41788.37,0.035771657
4684,623,1,43,1,0.0,2,1,1,146379.3,0.037930265
1731,601,0,44,4,0.0,2,1,0,58561.31,0.2019227
4742,506,1,59,8,119152.1,2,1,1,170679.74,0.10236594
4521,560,0,27,7,124995.98,1,1,1,114669.79,0.13810238
6340,790,1,37,8,0.0,2,1,1,149418.41,0.030130317
576,439,0,32,3,138901.61,1,1,0,75685.97,0.050913453
5202,597,0,22,6,101528.61,1,1,0,70529.0,0.2299293
6363,678,0,40,4,113794.22,1,1,0,16618.76,0.343047
439,464,0,42,3,85679.25,1,1,1,164104.74,0.46683243
2750,481,0,57,9,0.0,3,1,1,169719.35,0.9568993
7487,651,0,56,4,0.0,1,0,0,84383.22,0.90976715
5272,850,1,47,6,0.0,1,1,0,187391.02,0.86907536
5653,687,0,41,2,154007.21,1,1,0,158408.23,0.11541148
3999,696,1,19,1,110928.51,1,1,1,2766.63,0.04936625
6033,612,0,36,5,119799.27,2,1,0,159416.58,0.18908264
582,586,0,57,3,0.0,2,0,1,6057.81,0.06678646
9930,425,1,40,9,166776.6,2,0,1,172646.88,0.16232243
7051,643,1,43,1,0.0,2,1,1,145764.4,0.03197809
8158,641,0,37,2,0.0,2,1,0,3939.87,0.06417111
9896,795,0,40,2,101891.1,1,1,1,183044.86,0.1460124
2249,762,1,35,9,0.0,2,1,1,43075.7,0.030059807
4640,687,0,44,9,0.0,2,0,0,103042.2,0.051048864
9485,850,1,37,4,88141.1,1,1,0,109659.12,0.07088535
4947,753,0,62,6,0.0,2,1,1,136398.9,0.05434893
9920,678,0,49,3,204510.94,1,0,1,738.88,0.4819497
1963,578,1,34,8,147487.23,2,1,0,66680.77,0.035529427
8243,825,1,29,3,148874.01,2,0,1,71192.82,0.0968031
6590,696,0,30,0,0.0,2,1,1,9002.8,0.080093175
8847,457,1,40,10,134320.23,2,1,0,150757.35,0.1678482
321,680,0,30,8,141441.75,1,1,1,16278.97,0.085467026
2678,819,0,38,10,0.0,2,1,0,30498.7,0.09039677
